Title,Genre,Premiere,Runtime,IMDb Score,Language
One of Us,Documentary,"October 20, 2017",95,7.1,English
Pieces of a Woman,Drama,"January 7, 2021",126,7.1,English
"Ram Dass, Going Home",Documentary,"April 6, 2018",31,7.1,English
ReMastered: Tricky Dick & the Man in Black,Documentary,"November 2, 2018",58,7.1,English
Rooting for Roona,Documentary,"October 15, 2020",41,7.1,Bengali
The Devil All the Time,Psychological thriller,"September 16, 2020",138,7.1,English
The Dig,Drama,"January 29, 2021",112,7.1,English
The Great Hack,Documentary,"July 24, 2019",114,7.1,English
The White Tiger,Drama,"January 22, 2021",125,7.1,English
To All the Boys I've Loved Before,Romantic comedy,"August 17, 2018",99,7.1,English
American Murder: The Family Next Door,Documentary,"September 30, 2020",82,7.2,English
Audrie & Daisy,Documentary,"September 23, 2016",98,7.2,English
First They Killed My Father,Drama,"September 15, 2017",136,7.2,Khmer/English/French
Fyre: The Greatest Party That Never Happened,Documentary,"January 18, 2019",97,7.2,English
Into the Inferno,Documentary,"October 28, 2016",107,7.2,English
LA Originals,Documentary,"April 10, 2020",92,7.2,English
Ladies First,Documentary,"March 8, 2018",39,7.2,English/Hindi
Love per Square Foot,Romantic comedy,"February 14, 2018",133,7.2,Hindi
Paddleton,Drama-Comedy,"February 22, 2019",89,7.2,English
Private Life,Drama,"October 5, 2018",124,7.2,English
Seventeen,Coming-of-age comedy-drama,"October 18, 2019",99,7.2,Spanish
Sometimes,Drama,"May 1, 2018",101,7.2,Tamil
Soni,Crime drama,"January 18, 2019",97,7.2,Hindi
The 40-Year-Old Version,Comedy,"October 9, 2020",124,7.2,English
The Disciple,Drama,"April 30, 2021",129,7.2,Marathi
The Edge of Democracy,Documentary,"June 19, 2019",121,7.2,Portuguese
The King,Historical drama,"November 1, 2019",140,7.2,English
The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",13,7.2,English
The Siege of Jadotville,War,"October 7, 2016",108,7.2,English
Zion ,Documentary,"August 10, 2018",11,7.2,English
Dolemite Is My Name,Biopic,"October 25, 2019",118,7.3,English
El Camino: A Breaking Bad Movie,Crime drama,"October 11, 2019",121,7.3,English
Extremis,Documentary,"September 13, 2016",24,7.3,English
Father Soldier Son,Documentary,"July 17, 2020",100,7.3,English
Get Me Roger Stone,Documentary,"May 12, 2017",101,7.3,English
I'm No Longer Here,Drama,"May 27, 2020",105,7.3,Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,"July 8, 2020",96,7.3,Spanish/English
Octonauts & the Great Barrier Reef,Animation,"October 13, 2020",47,7.3,English
Okja,Action-adventure,"June 28, 2017",121,7.3,English/Korean
On My Skin,Crime drama,"September 12, 2018",100,7.3,Italian
Raat Akeli Hai,Thriller,"July 31, 2020",149,7.3,Hindi
ReMastered: Massacre at the Stadium,Documentary,"January 11, 2019",64,7.3,English/Spanish
ReMastered: The Two Killings of Sam Cooke,Documentary,"February 8, 2019",64,7.3,English
Secrets of the Saqqara Tomb,Documentary,"October 28, 2020",114,7.3,English/Arabic
Sitara: Let Girls Dream,Animation / Short,"March 8, 2020",15,7.3,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,"October 14, 2016",79,7.3,English/Mandarin
Team Foxcatcher,Documentary,"April 29, 2016",90,7.3,English/Russian
The Ballad of Buster Scruggs,Western,"November 16, 2018",132,7.3,English
The Death and Life of Marsha P. Johnson,Documentary,"October 6, 2017",105,7.3,English
The Fundamentals of Caring,Comedy-drama,"June 24, 2016",97,7.3,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,"May 22, 2015",83,7.3,English
American Factory,Documentary,"August 21, 2019",110,7.4,English
Fire in Paradise,Documentary,"November 1, 2019",39,7.4,English
Long Shot,Documentary,"September 29, 2017",40,7.4,English
Miss Americana,Documentary,"January 31, 2020",85,7.4,English
Period. End of Sentence.,Documentary,"February 12, 2019",26,7.4,English/Hindi
Shawn Mendes: Live in Concert,Concert Film,"November 25, 2020",87,7.4,English
Shirkers,Documentary,"October 26, 2018",97,7.4,English
The Black Godfather,Documentary,"June 7, 2019",118,7.4,English
The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",23,7.4,English
The Speed Cubers,Documentary,"July 29, 2020",40,7.4,English
They'll Love Me When I'm Dead,Documentary,"November 2, 2018",98,7.4,English
Tig,Documentary,"July 17, 2015",80,7.4,English
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,"November 22, 2017",108,7.5,English
Blackpink: Light Up the Sky,Documentary,"October 14, 2020",79,7.5,Korean
City of Joy,Documentary,"September 7, 2018",74,7.5,English
Dick Johnson Is Dead,Documentary,"October 2, 2020",90,7.5,English
Homecoming: A Film by Beyonce ,Documentary,"April 17, 2019",137,7.5,English
Invader Zim: Enter the Florpus,Animation / Science Fiction,"August 16, 2019",71,7.5,English
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,"December 24, 2019",70,7.5,English
Reversing Roe,Documentary,"September 13, 2018",99,7.5,English
The White Helmets,Documentary,September 16. 2016,40,7.5,English
Athlete A,Documentary,"June 24, 2020",104,7.6,English
Ludo,Anthology/Dark comedy,"November 12, 2020",149,7.6,Hindi
Quincy,Documentary,"September 21, 2018",124,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,"June 12, 2019",144,7.6,English
Tell Me Who I Am,Documentary,"October 18, 2019",85,7.6,English
The Bleeding Edge,Documentary,"July 27, 2018",100,7.6,English
The Social Dilemma,Documentary,"September 9, 2020",94,7.6,English
The Two Popes,Drama,"December 20, 2019",125,7.6,English
"What Happened, Miss Simone?",Documentary,"June 26, 2015",84,7.6,English
Yeh Ballet,Drama,"February 21, 2020",117,7.6,Hindi
Anima,Musical / Short,"June 27, 2019",15,7.7,English
Beasts of No Nation,War drama,"October 16, 2015",136,7.7,English/Akan
Brene Brown: The Call to Courage,Documentary,"April 19, 2019",76,7.7,English
Crip Camp: A Disability Revolution,Documentary,"March 25, 2020",108,7.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,"November 17, 2017",94,7.7,English
Justin Timberlake + The Tennessee Kids,Concert Film,"October 12, 2016",90,7.7,English
Road to Roma,Making-of,"February 11, 2020",72,7.7,Spanish
Roma,Drama,"December 14, 2018",135,7.7,Spanish
If Anything Happens I Love You,Animation / Short,"November 20, 2020",12,7.8,English
The Irishman,Crime drama,"November 27, 2019",209,7.8,English
The Trial of the Chicago 7,Drama,"October 16, 2020",130,7.8,English
A Secret Love,Documentary,"April 29, 2020",82,7.9,English
Icarus,Documentary,"August 4, 2017",120,7.9,English
Marriage Story,Drama,"December 6, 2019",136,7.9,English
The Ivory Game,Documentary,"November 4, 2016",112,7.9,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,"December 21, 2018",105,8,English
Chasing Coral ,Documentary,"July 14, 2017",89,8.1,English
My Octopus Teacher,Documentary,"September 7, 2020",85,8.1,English
Rising Phoenix,Documentary,"August 26, 2020",106,8.1,English
13th,Documentary,"October 7, 2016",100,8.2,English
Disclosure: Trans Lives on Screen,Documentary,"June 19, 2020",107,8.2,English
Klaus,Animation/Christmas/Comedy/Adventure,"November 15, 2019",97,8.2,English
Seaspiracy,Documentary,"March 24, 2021",89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,"October 14, 2020",109,8.2,Spanish
Cuba and the Cameraman ,Documentary,"November 24, 2017",114,8.3,English
Dancing with the Birds,Documentary,"October 23, 2019",51,8.3,English
Ben Platt: Live from Radio City Music Hall,Concert Film,"May 20, 2020",85,8.4,English
Taylor Swift: Reputation Stadium Tour,Concert Film,"December 31, 2018",125,8.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,"October 9, 2015",91,8.4,English/Ukranian/Russian
Springsteen on Broadway,One-man show,"December 16, 2018",153,8.5,English
Emicida: AmarElo - It's All For Yesterday,Documentary,"December 8, 2020",89,8.6,Portuguese
David Attenborough: A Life on Our Planet,Documentary,"October 4, 2020",83,9,English
